  Ef=4605.8 Eg=2234.2 Ig=1
  Ef=4609.7 Eg=2230.3 Ig=< 2

Ei=6851 Eplab=1762
  Ef=0 Eg=6851 Ig=5
  Ef=146.5 Eg=6704.5 Ig=4
  Ef=461.2 Eg=6389.8 Ig=40
  Ef=665.7 Eg=6185.3 Ig=6
  Ef=1230.5 Eg=5620.5 Ig=13
  Ef=1887.2 Eg=4963.8 Ig=23
  Ef=2579.9 Eg=4271.1 Ig=3
  Ef=3128.9 Eg=3722.1 Ig=3
  Ef=4352.9 Eg=2498.1 Ig=1
  Ef=4695.0 Eg=2156.0 Ig=1
  Ef=4993.0 Eg=1858.0 Ig=1

Ei=6870 Eplab=1782
  Ef=2375.6 Eg=4494.4 Ig=8
  Ef=3631.1 Eg=3238.9 Ig=44
  Ef=4444.7 Eg=2425.3 Ig=28
  Ef=5170.0 Eg=1700.0 Ig=11
  Ef=5383.0 Eg=1487.0 Ig=3
  Ef=5540.0 Eg=1330.0 Ig=6

Ei=6887 Eplab=1799
  Ef=146.5 Eg=6740.5 Ig=5
  Ef=1887.2 Eg=4999.8 Ig=1
  Ef=2158.1 Eg=4728.9 Ig=86
  Ef=2181.2 Eg=4705.8 Ig=1
  Ef=3383.6 Eg=3503.4 Ig=2
  Ef=4605.8 Eg=2281.2 Ig=1
  Ef=4609.7 Eg=2277.3 Ig=1
  Ef=4717.5 Eg=2169.5 Ig=2
  Ef=4959.0 Eg=1928.0 Ig=1

Ei=6900 Eplab=1813
  Ef=0 Eg=6900 Ig=6
  Ef=146.5 Eg=6753.5 Ig=2
  Ef=2158.1 Eg=4741.9 Ig=76
  Ef=3383.6 Eg=3516.4 Ig=16

Ei=6916 Eplab=1829
  Ef=146.5 Eg=6769.5 Ig=62
  Ef=2181.2 Eg=4734.8 Ig=5.5
  Ef=2375.6 Eg=4540.4 Ig=25
  Ef=2610.6 Eg=4305.4 Ig=2.5
  Ef=3333.9 Eg=3582.1 Ig=1.5
  Ef=3631.1 Eg=3284.9 Ig=2
  Ef=3645.6 Eg=3270.4 Ig=1.5

Ei=6929 Eplab=1843
  Ef=146.5 Eg=6782.5 Ig=14
  Ef=665.7 Eg=6263.3 Ig=4
  Ef=1887.2 Eg=5041.8 Ig=2
  Ef=2158.1 Eg=4770.9 Ig=2
  Ef=2579.9 Eg=4349.1 Ig=2
  Ef=2721.4 Eg=4207.6 Ig=3
  Ef=3383.6 Eg=3545.4 Ig=14
  Ef=3545.2 Eg=3383.8 Ig=3
  Ef=3600.3 Eg=3328.7 Ig=2
  Ef=3982.2 Eg=2946.8 Ig=4
  Ef=4352.9 Eg=2576.1 Ig=2
  Ef=4462.2 Eg=2466.8 Ig=<2
  Ef=4515.3 Eg=2413.7 Ig=1
  Ef=4605.8 Eg=2323.2 Ig=23
  Ef=4609.7 Eg=2319.3 Ig=21
  Ef=4717.5 Eg=2211.5 Ig=3

Ei=6975 Eplab=1890
  Ef=146.5 Eg=6828.5 Ig=20
  Ef=1230.5 Eg=5744.5 Ig=5.5
  Ef=2158.1 Eg=4816.9 Ig=67
  Ef=3383.6 Eg=3591.4 Ig=7.5

Ei=6984 Eplab=1900
  Ef=146.5 Eg=6837.5 Ig=7.5
  Ef=1230.5 Eg=5753.5 Ig=24
  Ef=2158.1 Eg=4825.9 Ig=41
  Ef=2721.4 Eg=4262.6 Ig=4.5
  Ef=3545.2 Eg=3438.8 Ig=8
  Ef=3600.3 Eg=3383.7 Ig=7.5
  Ef=3982.2 Eg=3001.8 Ig=7.5
  Ef=4605.8 Eg=2378.2 Ig=< 2

Ei=7049 Eplab=1967
  Ef=461.2 Eg=6587.8 Ig=28
  Ef=665.7 Eg=6383.3 Ig=20
  Ef=2158.1 Eg=4890.9 Ig=26
  Ef=3383.6 Eg=3665.4 Ig=10
  Ef=3545.2 Eg=3503.8 Ig=5
  Ef=4959.0 Eg=2090.0 Ig=11

Ei=7058 Eplab=1975
  Ef=146.5 Eg=6911.5 Ig=<1
  Ef=461.2 Eg=6596.8 Ig=57
  Ef=665.7 Eg=6392.3 Ig=25
  Ef=1230.5 Eg=5827.5 Ig=3
  Ef=1887.2 Eg=5170.8 Ig=5
  Ef=2158.1 Eg=4899.9 Ig=0.5
  Ef=2181.2 Eg=4876.8 Ig=1.5
  Ef=2579.9 Eg=4478.1 Ig=0.5
  Ef=2721.4 Eg=4336.6 Ig=1
  Ef=3128.9 Eg=3929.1 Ig=2.5
  Ef=3659.4 Eg=3398.6 Ig=1
  Ef=3773.9 Eg=3284.1 Ig=<0.5
  Ef=4325.6 Eg=2732.4 Ig=0.5
  Ef=4941.4 Eg=2116.6 Ig=1
  Ef=4993.0 Eg=2065.0 Ig=1.5

Ei=7079 Eplab=1997
  Ef=146.5 Eg=6932.5 Ig=8
  Ef=1230.5 Eg=5848.5 Ig=28
  Ef=1887.2 Eg=5191.8 Ig=3
  Ef=2181.2 Eg=4897.8 Ig=1
  Ef=2721.4 Eg=4357.6 Ig=11
  Ef=3333.9 Eg=3745.1 Ig=<1
  Ef=3545.2 Eg=3533.8 Ig=15
  Ef=3600.3 Eg=3478.7 Ig=17
  Ef=3982.2 Eg=3096.8 Ig=16
  Ef=4075.9 Eg=3003.1 Ig=1

